산지코드,산지이름,직팜산지코드,관측지점위치,관측지점코드
100000~199999,서울특별시,1000,서울특별시,137180A001
200000~208999,강원도 춘천시,1001,강원도 춘천시,200821A001
209000~209823,강원도 화천군,1002,강원도 화천군,209802A001
209824~209829,강원도 춘천시,1001,강원도 춘천시,200821A001
209830~209837,강원도 화천군,1002,강원도 화천군,209802A001
209838,강원도 춘천시,1001,강원도 춘천시,200821A001
209839,강원도 철원군,1003,강원도 철원군,269811A001
209840~209999,강원도 화천군,1002,강원도 화천군,209802A001
210000~214999,강원도 강릉시,1004,강원도 강릉시,2109130
215000~216999,강원도 양양군,1005,강원도 양양군,215821A001
217000~218999,강원도 속초시,1006,강원도 속초시,217060A001
219000~219999,강원도 고성군,1007,강원도 속초시,217060A001
220000~224999,강원도 원주시,1008,강원도 원주시,220844A001
225000~229999,강원도 횡성군,1009,강원도 횡성군,225874A001
230000~231999,강원도 영월군,1010,강원도 영월군,230802A001
232000~232999,강원도 평창군,1011,강원도 평창군,232803A001
233000~233828,강원도 정선군,1012,강원도 정선군,026136A003
233829,강원도 영월군,1010,강원도 영월군,230802A001
233830~234999,강원도 정선군,1012,강원도 정선군,026136A003
235000~235899,강원도 태백시,1013,강원도 태백시,026002D003
235900~239999,강원도 삼척시,1014,강원도 삼척시,245832A001
240000~244999,강원도 동해시,1015,강원도 동해시,240813A001
245000~245798,강원도 삼척시,1014,강원도 삼척시,245832A001
245799,강원도 동해시,1015,강원도 동해시,240813A001
245800~245898,강원도 삼척시,1014,강원도 삼척시,245832A001
245899,강원도 동해시,1015,강원도 동해시,240813A001
245900~249999,강원도 삼척시,1014,강원도 삼척시,245832A001
250000~250818,강원도 홍천군,1016,강원도 홍천군,2508450
250819,강원도 인제군,1017,강원도 인제군,252805A001
250820~250825,강원도 홍천군,1016,강원도 홍천군,2508450
250826~250829,강원도 춘천시,1001,강원도 춘천시,200821A001
250830~250856,강원도 홍천군,1016,강원도 홍천군,2508450
250857~250859,강원도 춘천시,1001,강원도 춘천시,200821A001
250860~251999,강원도 홍천군,1016,강원도 홍천군,2508450
252000~254999,강원도 인제군,1017,강원도 인제군,252805A001
255000~268999,강원도 양구군,1018,강원도 양구군,255840A001
269000~299999,강원도 철원군,1003,강원도 철원군,269811A001
300000~311999,대전광역시,1019,세종특별자치시,339814A001
312000~313999,충청남도 금산군,1020,충청남도 금산군,312831A001
314000~319999,충청남도 공주시,1021,충청남도 공주시,032528A001
320000~320999,충청남도 논산시,1022,충청남도 논산시,320862A001
321000~322999,충청남도 계룡시,1023,충청남도 계룡시,321916A001
323000~324999,충청남도 부여군,1024,충청남도 부여군,323814A001
325000~329999,충청남도 서천군,1025,충청남도 보령시,355831A001
330000~335999,충청남도 천안시,1026,충청남도 천안시,330846A001
336000~338999,충청남도 아산시,1027,충청남도 아산시,336812A001
339000~339699,세종특별자치시,1028,세종특별자치시,339814A001
339700~339999,충청남도 연기군,1029,세종특별자치시,339814A001
340000~342999,충청남도 예산군,1030,충청남도 예산군,340861A001
