산지코드,산지이름,직팜산지코드,직팜산지이름
100000~199999,서울특별시,1000,서울특별시
200000~208999,강원도 춘천시,1001,강원도 춘천시
209000~209823,강원도 화천군,1002,강원도 화천군
209824~209829,강원도 춘천시,1001,강원도 춘천시
209830~209837,강원도 화천군,1002,강원도 화천군
209838,강원도 춘천시,1001,강원도 춘천시
209839,강원도 철원군,1003,강원도 철원군
209840~209999,강원도 화천군,1002,강원도 화천군
210000~214999,강원도 강릉시,1004,강원도 강릉시
215000~216999,강원도 양양군,1005,강원도 양양군
217000~218999,강원도 속초시,1006,강원도 속초시
219000~219999,강원도 고성군,1007,강원도 고성군
220000~224999,강원도 원주시,1008,강원도 원주시
225000~229999,강원도 횡성군,1009,강원도 횡성군
230000~231999,강원도 영월군,1010,강원도 영월군
232000~232999,강원도 평창군,1011,강원도 평창군
233000~233828,강원도 정선군,1012,강원도 정선군
233829,강원도 영월군,1010,강원도 영월군
233830~234999,강원도 정선군,1012,강원도 정선군
235000~235899,강원도 태백시,1013,강원도 태백시
235900~239999,강원도 삼척시,1014,강원도 삼척시
240000~244999,강원도 동해시,1015,강원도 동해시
245000~245798,강원도 삼척시,1014,강원도 삼척시
245799,강원도 동해시,1015,강원도 동해시
245800~245898,강원도 삼척시,1014,강원도 삼척시
245899,강원도 동해시,1015,강원도 동해시
245900~249999,강원도 삼척시,1014,강원도 삼척시
250000~250818,강원도 홍천군,1016,강원도 홍천군
250819,강원도 인제군,1017,강원도 인제군
250820~250825,강원도 홍천군,1016,강원도 홍천군
250826~250829,강원도 춘천시,1001,강원도 춘천시
250830~250856,강원도 홍천군,1016,강원도 홍천군
250857~250859,강원도 춘천시,1001,강원도 춘천시
250860~251999,강원도 홍천군,1016,강원도 홍천군
252000~254999,강원도 인제군,1017,강원도 인제군
255000~268999,강원도 양구군,1018,강원도 양구군
269000~299999,강원도 철원군,1003,강원도 철원군
300000~311999,대전광역시,1019,대전광역시
312000~313999,충청남도 금산군,1020,충청남도 금산군
314000~319999,충청남도 공주시,1021,충청남도 공주시
320000~320999,충청남도 논산시,1022,충청남도 논산시
321000~322999,충청남도 계룡시,1023,충청남도 계룡시
323000~324999,충청남도 부여군,1024,충청남도 부여군
325000~329999,충청남도 서천군,1025,충청남도 서천군
330000~335999,충청남도 천안시,1026,충청남도 천안시
336000~338999,충청남도 아산시,1027,충청남도 아산시
339000~339999,세종특별자치시,1028,세종특별자치시
340000~342999,충청남도 예산군,1029,충청남도 예산군
343000~344999,충청남도 당진시,1030,충청남도 당진시
345000~349999,충청남도 청양군,1031,충청남도 청양군
350000~354999,충청남도 홍성군,1032,충청남도 홍성군
355000~355999,충청남도 보령시,1033,충청남도 보령시
356000~356999,충청남도 서산시,1034,충청남도 서산시
