plor_cd,plor_nm
100000,서울특별시 서울 중구
100011,서울 중구 충무로1가
100012,서울 중구 충무로2가
100013,서울 중구 충무로3가
100014,서울 중구 충무로4가
100015,서울 중구 충무로5가
100021,서울 중구 명동1가
100022,서울 중구 명동2가
100031,서울 중구 저동1가
100032,서울 중구 저동2가
100041,서울 중구 남산동1가
100042,서울 중구 남산동2가
100043,서울 중구 남산동3가
100051,서울 중구 회현동1가
100052,서울 중구 회현동2가
100053,서울 중구 회현동3가
100060,서울 중구 남창동
100070,서울 중구 소공동
100080,서울 중구 북창동
100091,서울 중구 남대문로1가
100092,서울 중구 남대문로2가
100093,서울 중구 남대문로3가
100094,서울 중구 남대문로4가
100095,서울 중구 남대문로5가
100100,서울 중구 충무로1가  서울체신청 
100101,서울 중구 태평로1가
100102,서울 중구 태평로2가
100110,서울 중구 서소문동
100120,서울 중구 정동
100130,서울 중구 순화동
100141,서울 중구 의주로1가
100142,서울 중구 의주로2가
100151,서울 중구 충정로1가
100161,서울 중구 봉래동1가
100162,서울 중구 봉래동2가
100170,서울 중구 무교동
100180,서울 중구 다동
100191,서울 중구 을지로1가
100192,서울 중구 을지로2가
100193,서울 중구 을지로3가
100194,서울 중구 을지로4가
100195,서울 중구 을지로5가
100196,서울 중구 을지로6가
100197,서울 중구 을지로7가
100200,서울 중구 삼각동
100210,서울 중구 수하동
100220,서울 중구 장교동
100230,서울 중구 수표동
100240,서울 중구 주자동
100250,서울 중구 예장동
100260,서울 중구 남학동
100271,서울 중구 필동1가
100272,서울 중구 필동2가
100273,서울 중구 필동3가
100281,서울 중구 인현동1가
100282,서울 중구 인현동2가
100290,서울 중구 예관동
100300,서울 중구 초동
100310,서울 중구 오장동
100320,서울 중구 방산동
100330,서울 중구 주교동
100340,서울 중구 산림동
100350,서울 중구 입정동
100360,서울 중구 중림동
100371,서울 중구 만리동1가
100372,서울 중구 만리동2가
100380,서울 중구 묵정동
100391,서울 중구 장충동1가
100392,서울 중구 장충동2가
100400,서울 중구 쌍림동
100411,서울 중구 광희동1가
100412,서울 중구 광희동2가
100420,서울 중구 무학동
100430,서울 중구 흥인동
100440,서울 중구 황학동
100450,서울 중구 신당동
100451,서울 중구 신당1동
100452,서울 중구 신당2동
100453,서울 중구 신당3동
100454,서울 중구 신당4동
100455,서울 중구 신당5동
100456,서울 중구 신당6동
100600,서울 중구 서울중앙우체국사서함1∼99
100601,서울 중구 서울중앙우체국사서함100∼199
100602,서울 중구 서울중앙우체국사서함200∼299
100603,서울 중구 서울중앙우체국사서함300∼399
100604,서울 중구 서울중앙우체국사서함400∼499
100605,서울 중구 서울중앙우체국사서함500∼599
100606,서울 중구 서울중앙우체국사서함600∼699
100607,서울 중구 서울중앙우체국사서함700∼799
100608,서울 중구 서울중앙우체국사서함800∼899
100609,서울 중구 서울중앙우체국사서함900∼999
100610,서울 중구 서울중앙우체국사서함1000∼1099
100611,서울 중구 서울중앙우체국사서함1100∼1199
100612,서울 중구 서울중앙우체국사서함1200∼1299
100613,서울 중구 서울중앙우체국사서함1300∼1399
100614,서울 중구 서울중앙우체국사서함1400∼1499
100615,서울 중구 서울중앙우체국사서함1500∼1599
100616,서울 중구 서울중앙우체국사서함1600∼1699
100617,서울 중구 서울중앙우체국사서함1700∼1799
100618,서울 중구 서울중앙우체국사서함1800∼1899
100619,서울 중구 서울중앙우체국사서함1900∼1999
100620,서울 중구 서울중앙우체국사서함2000∼2099
100621,서울 중구 서울중앙우체국사서함2100∼2199
100622,서울 중구 서울중앙우체국사서함2200∼2299
100623,서울 중구 서울중앙우체국사서함2300∼2399
100624,서울 중구 서울중앙우체국사서함2400∼2499
100625,서울 중구 서울중앙우체국사서함2500∼2599
100626,서울 중구 서울중앙우체국사서함2600∼2699
100627,서울 중구 서울중앙우체국사서함2700∼2799
100628,서울 중구 서울중앙우체국사서함2800∼2899
100629,서울 중구 서울중앙우체국사서함2900∼2999
100630,서울 중구 서울중앙우체국사서함3000∼3099
100631,서울 중구 서울중앙우체국사서함3100∼3199
100632,서울 중구 서울중앙우체국사서함3200∼3299
100633,서울 중구 서울중앙우체국사서함3300∼3399
100634,서울 중구 서울중앙우체국사서함3400∼3499
100635,서울 중구 서울중앙우체국사서함3500∼3599
100636,서울 중구 서울중앙우체국사서함3600∼3699
100637,서울 중구 서울중앙우체국사서함3700∼3799
100638,서울 중구 서울중앙우체국사서함3800∼3899
100639,서울 중구 서울중앙우체국사서함3900∼3999
100640,서울 중구 서울중앙우체국사서함4000∼4099
100641,서울 중구 서울중앙우체국사서함4100∼4199
100642,서울 중구 서울중앙우체국사서함4200∼4299
100643,서울 중구 서울중앙우체국사서함4300∼4399
100644,서울 중구 서울중앙우체국사서함4400∼4499
100645,서울 중구 서울중앙우체국사서함4500∼4599
100646,서울 중구 서울중앙우체국사서함4600∼4699
100647,서울 중구 서울중앙우체국사서함4700∼4799
100648,서울 중구 서울중앙우체국사서함4800∼4899
100649,서울 중구 서울중앙우체국사서함4900∼4999
100650,서울 중구 서울중앙우체국사서함5000∼5099
100651,서울 중구 서울중앙우체국사서함5100∼5199
100652,서울 중구 서울중앙우체국사서함5200∼5299
100653,서울 중구 서울중앙우체국사서함5300∼5399
100654,서울 중구 서울중앙우체국사서함5400∼5499
100655,서울 중구 서울중앙우체국사서함5500∼5599
100656,서울 중구 서울중앙우체국사서함5600∼5699
100657,서울 중구 서울중앙우체국사서함5700∼5799
100658,서울 중구 서울중앙우체국사서함5800∼5899
100659,서울 중구 서울중앙우체국사서함5900∼5999
100660,서울 중구 서울중앙우체국사서함6000∼6099
100661,서울 중구 서울중앙우체국사서함6100∼6199
100662,서울 중구 서울중앙우체국사서함6200∼6299
100663,서울 중구 서울중앙우체국사서함6300∼6399
100664,서울 중구 서울중앙우체국사서함6400∼6499
100665,서울 중구 서울중앙우체국사서함6500∼6599
100666,서울 중구 서울중앙우체국사서함6600∼6699
100667,서울 중구 서울중앙우체국사서함6700∼6799
100668,서울 중구 서울중앙우체국사서함6800∼6899
100669,서울 중구 서울중앙우체국사서함6900∼6999
100670,서울 중구 서울중앙우체국사서함7000∼7099
100671,서울 중구 서울중앙우체국사서함7100∼7199
100672,서울 중구 서울중앙우체국사서함7200∼7299
100673,서울 중구 서울중앙우체국사서함7300∼7399
100674,서울 중구 서울중앙우체국사서함7400∼7499
100675,서울 중구 서울중앙우체국사서함7500∼7599
100676,서울 중구 서울중앙우체국사서함7600∼7699
100677,서울 중구 서울중앙우체국사서함7700∼7799
100678,서울 중구 서울중앙우체국사서함7800∼7899
100679,서울 중구 서울중앙우체국사서함7900∼7999
100680,서울 중구 서울중앙우체국사서함8000∼8099
100681,서울 중구 서울중앙우체국사서함8100∼8199
100682,서울 중구 서울중앙우체국사서함8200∼8299
100683,서울 중구 서울중앙우체국사서함8300∼8399
100684,서울 중구 서울중앙우체국사서함8400∼8499
100685,서울 중구 서울중앙우체국사서함8500∼8599
100686,서울 중구 서울중앙우체국사서함8600∼8699
100687,서울 중구 서울중앙우체국사서함8700∼8799
100688,서울 중구 서울중앙우체국사서함8800∼8899
