gds_lclsf_cd,gds_lclsf_nm,gds_mclsf_cd,gds_mclsf_nm,gds_sclsf_cd,gds_sclsf_nm
01,미곡류,00,미곡류(일반),-,-
01,미곡류,01,벼,00,벼
01,미곡류,01,벼,01,일반계
01,미곡류,01,벼,02,통일계
01,미곡류,01,벼,03,햇일반계
01,미곡류,01,벼,04,홍벼
01,미곡류,01,벼,99,기타벼
01,미곡류,02,밭벼,00,밭벼
01,미곡류,02,밭벼,01,밭벼(일반)
01,미곡류,02,밭벼,02,신규
01,미곡류,03,쌀,00,쌀
01,미곡류,03,쌀,01,일반미(쌀 일반)
01,미곡류,03,쌀,02,청결미
01,미곡류,03,쌀,03,품질인증미
01,미곡류,03,쌀,04,혼합미
01,미곡류,03,쌀,05,흑미
01,미곡류,03,쌀,06,기타유색미
01,미곡류,03,쌀,07,향미
01,미곡류,03,쌀,08,양조미
01,미곡류,03,쌀,09,대립미
01,미곡류,03,쌀,10,사용불가
01,미곡류,03,쌀,11,쑥쌀
01,미곡류,03,쌀,12,사용불가
01,미곡류,03,쌀,13,멥쌀
01,미곡류,03,쌀,14,쌀(쇄미)
01,미곡류,03,쌀,15,쌀겨(미강)
01,미곡류,03,쌀,16,발아유색미(기타)
01,미곡류,03,쌀,17,발아흑미
01,미곡류,03,쌀,98,쌀(수입)
01,미곡류,03,쌀,99,기타쌀
01,미곡류,04,찹쌀,00,찹쌀
01,미곡류,04,찹쌀,01,찹쌀(일반)
01,미곡류,04,찹쌀,02,현미찹쌀
01,미곡류,04,찹쌀,03,발아찰현미
01,미곡류,04,찹쌀,99,기타찹쌀
01,미곡류,05,찰벼,00,찰벼
01,미곡류,05,찰벼,01,찰벼(일반)
01,미곡류,05,찰벼,02,흑벼
01,미곡류,05,찰벼,03,찰흑벼
01,미곡류,06,현미,01,현미(일반)
01,미곡류,06,현미,02,현미쑥쌀
01,미곡류,06,현미,03,메현미
01,미곡류,06,현미,04,찰현미
01,미곡류,06,현미,05,흑현미
01,미곡류,06,현미,06,발아현미
01,미곡류,06,현미,07,찰흑미
01,미곡류,06,현미,08,흑향미
01,미곡류,06,현미,09,쌀겨
01,미곡류,06,현미,99,기타현미
01,미곡류,07,총체벼,01,총체벼(일반)
01,미곡류,99,기타,00,미곡류기타
01,미곡류,99,기타,99,기타
02,맥류,00,맥류(일반),-,-
02,맥류,01,보리,00,보리
02,맥류,01,보리,01,보리(일반)
02,맥류,01,보리,02,쌀보리
02,맥류,01,보리,03,맥주보리
02,맥류,01,보리,04,발아보리
02,맥류,01,보리,05,겉보리
02,맥류,01,보리,06,검정보리
02,맥류,01,보리,98,볶은보리
02,맥류,01,보리,99,기타보리
02,맥류,02,보리쌀,00,보리쌀
02,맥류,02,보리쌀,01,겉보리쌀
02,맥류,02,보리쌀,02,쌀보리쌀
02,맥류,02,보리쌀,03,맥주보리쌀
02,맥류,02,보리쌀,04,찰보리쌀
02,맥류,02,보리쌀,05,늘보리쌀
02,맥류,02,보리쌀,06,할맥
02,맥류,02,보리쌀,07,압맥
02,맥류,02,보리쌀,99,기타보리쌀
02,맥류,03,밀,00,밀
02,맥류,03,밀,01,밀(일반)
02,맥류,03,밀,02,발아밀
02,맥류,03,밀,03,카무트
02,맥류,03,밀,04,새싹밀
02,맥류,03,밀,05,스펠트밀
02,맥류,03,밀,99,기타
02,맥류,04,밀쌀,00,밀쌀
02,맥류,04,밀쌀,01,밀쌀(일반)
02,맥류,05,호밀,00,호밀
02,맥류,05,호밀,01,호밀(일반)
02,맥류,06,귀리,00,귀리
02,맥류,06,귀리,01,귀리(일반)
02,맥류,06,귀리,02,귀리순
02,맥류,99,기타,00,맥류기타
03,두류,00,두류(일반),-,-
03,두류,01,콩,00,콩
03,두류,01,콩,01,콩(일반)
03,두류,01,콩,02,황태
03,두류,01,콩,03,청태
03,두류,01,콩,04,흑태
03,두류,01,콩,05,선비태
03,두류,01,콩,06,아주까리콩
03,두류,01,콩,07,서리태
03,두류,01,콩,08,밤콩
03,두류,01,콩,09,콩나물콩
03,두류,01,콩,10,풋콩
03,두류,01,콩,11,풋청태
03,두류,01,콩,12,약콩
03,두류,01,콩,13,갓끈콩
03,두류,01,콩,14,양태
03,두류,01,콩,15,장단콩
03,두류,01,콩,16,울콩
03,두류,01,콩,17,발아콩
03,두류,01,콩,18,백태
03,두류,01,콩,19,호랑이콩
03,두류,01,콩,20,알록콩
03,두류,01,콩,21,서목태
03,두류,01,콩,96,울콩(수입)
03,두류,01,콩,97,백태(수입)
03,두류,01,콩,98,콩(수입)
03,두류,01,콩,99,기타콩
03,두류,02,팥,00,팥
03,두류,02,팥,01,팥(일반)
03,두류,02,팥,02,검정팥
03,두류,02,팥,03,개구리팥
03,두류,02,팥,04,흰팥
03,두류,02,팥,05,발아팥
03,두류,02,팥,06,붉은팥
03,두류,02,팥,96,개구리팥(수입)
03,두류,02,팥,97,붉은팥(수입)
03,두류,02,팥,98,팥(수입)
03,두류,02,팥,99,기타팥
03,두류,03,녹두,00,녹두
03,두류,03,녹두,01,녹두(일반)
03,두류,03,녹두,02,무광녹두
03,두류,03,녹두,03,발아녹두
03,두류,03,녹두,04,유광녹두
03,두류,03,녹두,98,녹두(수입)
03,두류,03,녹두,99,기타녹두
03,두류,04,완두,00,완두
03,두류,04,완두,01,완두(일반)
03,두류,04,완두,02,피완두
03,두류,04,완두,03,풋완두
03,두류,04,완두,04,깐완두
03,두류,04,완두,98,완두(수입)
03,두류,04,완두,99,기타완두
03,두류,05,강낭콩,00,강낭콩
03,두류,05,강낭콩,01,강낭콩(일반)
03,두류,05,강낭콩,02,풋강낭콩
03,두류,05,강낭콩,03,줄콩
03,두류,05,강낭콩,05,빨간콩
03,두류,05,강낭콩,06,넝쿨콩
03,두류,05,강낭콩,98,강낭콩(수입)
03,두류,05,강낭콩,99,기타강낭콩
03,두류,06,동부,00,동부
03,두류,06,동부,01,동부(일반)
03,두류,06,동부,02,풋동부
03,두류,06,동부,98,동부(수입)
03,두류,06,동부,99,기타동부
03,두류,07,잠두,01,잠두(일반)
03,두류,08,칼콩,01,칼콩(일반)
03,두류,09,제비콩,01,제비콩(일반)
03,두류,10,병아리콩,01,병아리콩(일반)
03,두류,11,렌틸콩,01,렌틸콩(일반)
03,두류,99,기타,00,두류기타
03,두류,99,기타,01,잠두
03,두류,99,기타,02,칼콩
03,두류,99,기타,03,제비콩
03,두류,99,기타,04,타마린드
03,두류,99,기타,98,두류(수입)
03,두류,99,기타,99,기타기타
04,잡곡류,00,잡곡류(일반),-,-
04,잡곡류,01,옥수수,00,옥수수
04,잡곡류,01,옥수수,01,곡실옥수수
04,잡곡류,01,옥수수,02,찰옥수수
04,잡곡류,01,옥수수,03,풋옥수수
04,잡곡류,01,옥수수,04,팝콘옥수수
04,잡곡류,01,옥수수,05,옥수수쌀
04,잡곡류,01,옥수수,06,미백
04,잡곡류,01,옥수수,07,단옥수수
04,잡곡류,01,옥수수,08,발아옥수수
04,잡곡류,01,옥수수,09,감미옥수수
04,잡곡류,01,옥수수,96,옥수수수염
04,잡곡류,01,옥수수,97,볶은옥수수
04,잡곡류,01,옥수수,98,옥수수(수입)
04,잡곡류,01,옥수수,99,기타옥수수
04,잡곡류,02,조,00,조
04,잡곡류,02,조,01,조(일반)
04,잡곡류,02,조,02,차조(일반)
04,잡곡류,02,조,03,메좁쌀
04,잡곡류,02,조,04,차좁쌀
04,잡곡류,02,조,05,좁쌀
04,잡곡류,02,조,06,발아조
04,잡곡류,02,조,07,메조
04,잡곡류,02,조,97,차조(수입)
04,잡곡류,02,조,98,조(수입)
04,잡곡류,02,조,99,기타조
04,잡곡류,03,수수,00,수수
04,잡곡류,03,수수,01,수수(일반)
04,잡곡류,03,수수,02,찰수수
04,잡곡류,03,수수,03,수수쌀
04,잡곡류,03,수수,04,발아수수
04,잡곡류,03,수수,05,메수수
04,잡곡류,03,수수,98,수수(수입)
04,잡곡류,03,수수,99,기타수수
04,잡곡류,04,메밀,00,메밀
04,잡곡류,04,메밀,01,메밀(일반)
04,잡곡류,04,메밀,02,메밀(수입)
04,잡곡류,04,메밀,98,메밀(수입)
04,잡곡류,05,기장,00,기장
04,잡곡류,05,기장,01,기장(일반)
04,잡곡류,05,기장,02,기장쌀
04,잡곡류,05,기장,98,기장(수입)
04,잡곡류,05,기장,99,기타
04,잡곡류,06,피,00,피
04,잡곡류,06,피,01,피(일반)
04,잡곡류,07,율무,00,율무
04,잡곡류,07,율무,01,일반율무
04,잡곡류,07,율무,02,개량율무
04,잡곡류,07,율무,03,율무쌀
04,잡곡류,07,율무,99,기타율무
04,잡곡류,99,기타,00,잡곡류기타
04,잡곡류,99,기타,01,아마란스
04,잡곡류,99,기타,98,기타잡곡류(수입)
04,잡곡류,99,기타,99,잡곡류(기타)
05,서류,00,서류(일반),-,-
05,서류,01,감자,00,감자
05,서류,01,감자,01,수미
05,서류,01,감자,02,남작
05,서류,01,감자,03,대지
05,서류,01,감자,04,세풍
05,서류,01,감자,05,조풍
05,서류,01,감자,06,남서
05,서류,01,감자,07,대서
05,서류,01,감자,08,홍깨니백
05,서류,01,감자,09,선농
05,서류,01,감자,10,자주감자
05,서류,01,감자,11,가을감자
05,서류,01,감자,12,고냉지
05,서류,01,감자,13,두백
05,서류,01,감자,14,봄감자
05,서류,01,감자,15,조림감자
05,서류,01,감자,16,추백감자
05,서류,01,감자,17,호박감자
05,서류,01,감자,18,홍감자
05,서류,01,감자,19,답리작
05,서류,01,감자,20,맘모스
05,서류,01,감자,21,돼지감자
05,서류,01,감자,24,깐감자
05,서류,01,감자,25,아피오스
05,서류,01,감자,26,탐나
05,서류,01,감자,98,감자(수입)
05,서류,01,감자,99,기타감자
05,서류,02,고구마,00,고구마
05,서류,02,고구마,01,밤고구마
05,서류,02,고구마,02,물고구마
05,서류,02,고구마,03,절간고구마
05,서류,02,고구마,04,호박고구마
05,서류,02,고구마,05,자주고구마
05,서류,02,고구마,06,붉은고구마
05,서류,02,고구마,07,황금고구마
05,서류,02,고구마,08,당근고구마
05,서류,02,고구마,09,건고구마
05,서류,02,고구마,10,풍원미
05,서류,02,고구마,11,소담미
05,서류,02,고구마,97,밤고구마(수입)
05,서류,02,고구마,98,고구마(수입)
05,서류,02,고구마,99,기타
05,서류,03,야콘,00,야콘
05,서류,03,야콘,01,야콘(일반)
05,서류,04,카사바,01,카사바(일반)
05,서류,04,카사바,99,카사바(기타)
05,서류,05,얌빈(히카마),01,얌빈(히카마)(일반)
05,서류,99,기타,00,서류기타
05,서류,99,기타,99,서류(기타)
06,과실류,00,과실류(일반),-,-
06,과실류,01,사과,00,사과
06,과실류,01,사과,01,홍옥
06,과실류,01,사과,02,골덴
06,과실류,01,사과,03,후지
06,과실류,01,사과,04,아오리
06,과실류,01,사과,05,육오
06,과실류,01,사과,06,세계일
06,과실류,01,사과,07,태양
06,과실류,01,사과,08,착색후지
06,과실류,01,사과,09,노변
06,과실류,01,사과,10,조나골드
06,과실류,01,사과,11,천추
06,과실류,01,사과,12,홍월
06,과실류,01,사과,13,모리스
06,과실류,01,사과,14,양광
06,과실류,01,사과,15,사이삼
06,과실류,01,사과,16,북두
06,과실류,01,사과,17,홍로
06,과실류,01,사과,18,혜
06,과실류,01,사과,19,산사
06,과실류,01,사과,20,추향
06,과실류,01,사과,21,야다까
06,과실류,01,사과,22,국광
06,과실류,01,사과,23,인도
06,과실류,01,사과,24,어리브레이스
06,과실류,01,사과,25,왕령
06,과실류,01,사과,26,스타크림숀
06,과실류,01,사과,27,데리셔스
06,과실류,01,사과,28,축
06,과실류,01,사과,29,감홍
06,과실류,01,사과,30,송본금
06,과실류,01,사과,31,시나노스위트
06,과실류,01,사과,32,OBIR
06,과실류,01,사과,33,요까
06,과실류,01,사과,34,추광
06,과실류,01,사과,35,하향
06,과실류,01,사과,36,홍장군
06,과실류,01,사과,37,화홍
06,과실류,01,사과,38,히로사끼
06,과실류,01,사과,39,미시마
06,과실류,01,사과,40,미얀마
06,과실류,01,사과,41,선홍
06,과실류,01,사과,42,나리따
06,과실류,01,사과,43,시나노레드
06,과실류,01,사과,44,아이카향
06,과실류,01,사과,45,로얄부사
06,과실류,01,사과,46,기꾸8
06,과실류,01,사과,47,알프스오토메
06,과실류,01,사과,48,채향
06,과실류,01,사과,49,서광
06,과실류,01,사과,50,갈라
06,과실류,01,사과,51,그라니스미스
06,과실류,01,사과,52,글로스터
06,과실류,01,사과,53,금광
06,과실류,01,사과,54,금왕자
06,과실류,01,사과,55,롬뷰티
06,과실류,01,사과,56,마도우
06,과실류,01,사과,57,맨코이
06,과실류,01,사과,58,미광
06,과실류,01,사과,59,미끼
06,과실류,01,사과,60,새나라
06,과실류,01,사과,61,스타칼라
06,과실류,01,사과,62,대홍
06,과실류,01,사과,63,자홍
06,과실류,01,사과,64,희상
06,과실류,01,사과,65,레드골드
06,과실류,01,사과,67,월향
06,과실류,01,사과,68,홍무
06,과실류,01,사과,69,호노까
06,과실류,01,사과,70,나가후
06,과실류,01,사과,71,나까오
06,과실류,01,사과,72,로얄후지
06,과실류,01,사과,73,만월
06,과실류,01,사과,74,무대
06,과실류,01,사과,75,메구미
06,과실류,01,사과,76,미야비
06,과실류,01,사과,77,부광
06,과실류,01,사과,78,줄라이레드
06,과실류,01,사과,79,아이다레드
06,과실류,01,사과,80,앙림
06,과실류,01,사과,81,하크나인
06,과실류,01,사과,82,챔피온
06,과실류,01,사과,83,홍아이카
06,과실류,01,사과,84,홍추
06,과실류,01,사과,85,뉴히로사끼
06,과실류,01,사과,86,명월
06,과실류,01,사과,87,하쯔쓰가루
06,과실류,01,사과,88,코린
06,과실류,01,사과,89,왕림
06,과실류,01,사과,90,소백3호
06,과실류,01,사과,91,추홍
06,과실류,01,사과,92,아리수
06,과실류,01,사과,93,시나노골드
06,과실류,01,사과,94,루비에스
06,과실류,01,사과,95,사일레이트
06,과실류,01,사과,96,썸머킹
06,과실류,01,사과,97,썸머프린스
06,과실류,01,사과,98,사과(수입)
06,과실류,01,사과,99,기타사과
06,과실류,01,사과,A1,피덱스
06,과실류,01,사과,A2,후지후브락스
06,과실류,01,사과,A3,컬러플
06,과실류,01,사과,A4,피크닉
06,과실류,01,사과,A5,엠부
06,과실류,01,사과,A6,이지플
06,과실류,01,사과,A7,다홍
06,과실류,01,사과,A8,홍드림
06,과실류,01,사과,A9,고운이후지
06,과실류,01,사과,B1,초홍
06,과실류,01,사과,B2,케이원
06,과실류,01,사과,B3,하나후지
