도명,지점명,지점코드,위도,경도,고도,설치주소,관측시작일
경기도,가평군 가평읍,477802A001,37.84621,127.50063,80,경기도 가평군 가평읍 아랫마장길 59,2011-05-22
경기도,고양시 구산동,411801A001,37.67453,126.7007,24,경기도 고양시 일산서구 구산동 1942,2010-12-06
경기도,고양시 덕양구,412040A002,37.64918,126.87036,39,경기도 고양시 덕양구 고양대로 1695 (원흥동),2013-08-24
경기도,광주시 목현동,464030A001,37.43231,127.23394,91,경기도 광주시 이배재로 209-5,2010-11-01
경기도,김포시 월곶면,415743A001,37.69489,126.55614,43,경기도 김포시 월곶면 오리정로 13,2010-12-14
경기도,남양주 진건읍,472830A001,37.64977,127.19327,88,경기도 남양주시 진건읍 사릉로 234-46,2012-06-05
경기도,수원시 서둔동,441707D001,37.2736,126.99299,46,경기도 수원시 권선구 수인로 84 (서둔동),2013-03-21
경기도,시흥시 하중동,429843A001,37.40104,126.8079,12,경기도 시흥시 하중동 224-1,2010-11-05
경기도,안산시 단원구,425320A001,37.24892,126.59118,7,경기도 안산시 단원구 대부도동 1253-1,2010-12-08
경기도,안산시 상록구,426170A001,37.30035,126.84454,23,경기도 안산시 상록구 항가울로 222 (사동),2012-12-17
경기도,안성시 보개면,456871A001,37.02392,127.28776,73,경기도 안성시 보개면 보개원삼로 219,2010-12-13
경기도,양주시 광적면,482841A001,37.82046,126.97269,107,경기도 양주군 광적면 광석리 278,2010-12-06
경기도,양평군 양평읍,476801A001,37.50897,127.51295,191,경기도 양평군 양평읍 농업기술센터길 37,2010-09-28
경기도,여주시 상거동,469803A001,37.25226,127.63796,87,경기도 여주군 여주읍 상거리 5-6,2010-11-10
경기도,연천군 신서면,486831E011,38.17157,127.10334,126,경기도 연천군 신서면 도신리 146-8,2014-12-15
경기도,연천군 연천읍,486803A001,38.08436,127.07843,49,경기도 연천군 연천읍 동막리 431-12(연천로 42번길),2010-11-12
경기도,용인시 처인구,449872A001,37.17386,127.2989,149,경기도 용인시 처인구 원삼면 농촌파크로 80,2010-11-10
경기도,이천시 장호원,017414F020,37.14918,127.61381,72,경기 이천시 장호원읍 풍계리 458,2017-11-24
경기도,이천시 중리동,467800A001,37.27261,127.43305,90,경기도 이천시 부악로 38-52 (중리동),2010-11-08
경기도,이천시 진암리,017421F029,37.12112,127.60956,129.4,경기 이천시 장호원읍 진암리 328-1(서동대로8759번길 97-103),2018-11-14
경기도,파주시 아동동,413813A001,37.76469,126.79618,23,경기도 파주시 아동동 91-6,2010-11-11
경기도,평택시 오성면,451873A001,37.01257,126.98065,31,경기도 평택시 오성면 청오로 33-58,2010-11-15
경기도,포천시 신북면,487915A001,37.92364,127.22573,128,경기도 포천시 신북면 틀못이길 11-88,2010-11-26
경기도,포천시 영북면,011104F031,37.12035,127.60867,129.4, 경기도 포천시 영북면 운천리 산1번지,2019-10-01
경기도,화성시 마도면,018544F032,36.86547,128.49416,283.4,경기도 화성시 마도면 해운로 630번길 13,2019-10-16
경기도,화성시 장안면,445891A001,37.0773,126.8738,42,경기도 화성시 장안면 풍무길80번길 53-20,2011-04-16
강원도,강릉 안반덕이,210913E001,37.61906,128.73748,1099,강원도 강릉시 왕산면 대기4리 안반덕이,2012-07-12
강원도,동해시 북평동,240813A001,37.4852,129.11882,55,강원도 동해시 북평동 274-18,2012-05-10
강원도,삼척시 근덕면,245832A001,37.38416,129.23112,19,강원도 삼척시 근덕면 맹방해변로 49,2011-01-28
강원도,삼척시 미로면,245825A002,37.41026,129.10624,26,강원도 삼척시 미로면 하거노리 435,2015-01-27
강원도,속초시 대포동,217060A001,38.16919,128.5997,68,강원도 속초시 대포동 159-13,2010-09-15
강원도,양구군 만대리,255840A001,38.15287,128.08108,501,강원도 양구군 해안면 만대리 2524,2012-06-18
강원도,양구군 후리,255840A002,38.17512,128.08334,457,강원도 양구군 해안면 후리 519,2013-05-22
강원도,양양군 손양면,215821A001,38.0749,128.6336,40,강원도 양양군 손양면 동해대로 2558,2013-11-29
강원도,영월군 영월읍,230802A001,37.16763,128.47716,220,강원도 영월군 영월읍 덕포리 95-1,2011-11-09
강원도,원주시 흥업면,220844A001,37.29576,127.91503,154,강원도 원주시 흥업면 흥대길 7,2010-12-01
강원도,인제군 인제읍,252805A001,38.05974,128.16701,192,강원도 인제군 인제읍 남북리 2리 7반,2010-10-13
강원도,정선군 신동읍,026136A003,37.25987,128.58477,261,강원도 정선군 신동읍 덕천리 산137,2015-10-19
강원도,정선군 임계면,233852A002,37.50471,128.87632,550,강원도 정선군 임계면 임계리 658-6,2014-10-07
강원도,정선군 정선읍,233852A001,37.42332,128.65395,374,강원도 정선군 북평면 남평1리 1270-6,2012-04-24
