plor_cd,plor_nm
200000.0,강원도 춘천시
200010.0,강원 춘천시 옥천동
200020.0,강원 춘천시 봉의동
200030.0,강원 춘천시 요선동
200041.0,강원 춘천시 중앙로1가
200042.0,강원 춘천시 중앙로2가
200043.0,강원 춘천시 중앙로3가
200050.0,강원 춘천시 죽림동
200060.0,강원 춘천시 교동
200070.0,강원 춘천시 조양동
200080.0,강원 춘천시 운교동
200090.0,강원 춘천시 효자동
200091.0,강원 춘천시 효자1동
200092.0,강원 춘천시 효자2동
200093.0,강원 춘천시 효자3동
200100.0,강원 춘천시 낙원동
200111.0,강원 춘천시 소양로1가
200112.0,강원 춘천시 소양로2가
200113.0,강원 춘천시 소양로3가
200114.0,강원 춘천시 소양로4가
200120.0,강원 춘천시 약사동
200130.0,강원 춘천시 근화동
200140.0,강원 춘천시 사농동
200150.0,강원 춘천시 우두동
200160.0,강원 춘천시 후평동
200161.0,강원 춘천시 후평1동
200162.0,강원 춘천시 후평2동
200163.0,강원 춘천시 후평3동
200170.0,강원 춘천시 퇴계동
200180.0,강원 춘천시 석사동
200190.0,강원 춘천시 온의동
200200.0,강원 춘천시 삼천동
200210.0,강원 춘천시 송암동
200220.0,강원 춘천시 칠전동
200230.0,강원 춘천시 중도동
200240.0,강원 춘천시 신동
200600.0,강원 춘천시 춘천우체국사서함
200700.0,강원 춘천시 봉의동  강원도청 
200701.0,강원 춘천시 효자2동  강원대학교 
200702.0,강원 춘천시 옥천동  한림대학교 
200703.0,강원 춘천시 석사동  춘천교육대학교 
200704.0,강원 춘천시 교동  춘천성심병원 
200705.0,강원 춘천시 중앙로1가  강원일보사 
200706.0,강원 춘천시 운교동  신한은행강원영업부지점 
200707.0,강원 춘천시 후평1동  도민일보사 
200708.0,강원 춘천시 옥천동  춘천시청 
200709.0,강원 춘천시 소양로3가  KT춘천지사 
200710.0,강원 춘천시 동내면  춘천교도소 
200711.0,강원 춘천시 동면 장학리 한림성심대학 
200712.0,강원 춘천시 동산면  춘천기능대학 
200713.0,강원 춘천시 사농동  강원도교육청 
200714.0,강원 춘천시 동내면 거두리 강원지방경찰청 
200715.0,강원 춘천시 효자2동  춘천지방법원 
200716.0,강원 춘천시 효자2동  춘천지방검찰청 
200717.0,강원 춘천시 낙원동  KBS춘천방송총국 
200718.0,강원 춘천시 삼천동  MBC춘천문화방송 
200719.0,강원 춘천시 동면  GTB강원민방 
