region_city,plor_cd_range
강원도 강릉시,"210000,210003,210010,210020,210030,210040,210050,210060,210070,210080,210090,210100~210102,210110~210112,210120,210130,210140,210150,210160,210170,210180,210190,210200,210210,210220,210230,210240,210250,210260,210270,210280,210290,210300,210310,210320,210330,210340,210350,210360,210370,210380,210390,210600,210701~210715,210721~210722,210730~210738,210740~210741,210745~210747,210750~210759,210761~210762,210768,210771~210774,210780~210784,210791~210793,210795,210799~210811,210820~210824,210830~210834,210840~210843,210850~210853,210860~210865,210899,210910~210914,210920~210949,210951"
강원도 고성군,"219000,219700,219705,219800~219804,219810~219813,219820~219823,219830~219833,219839,219900~219904"
강원도 동해시,"240000,240010,240020,240030,240041~240044,240050,240060,240070,240080,240090,240100,240110,240120,240130,240140,240150,240160,240170,240180,240190,240200,240210,240220,240230,240240,240250,240260,240270,240280,240290,240300,240310,240320,240330,240340,240350,240360,240600,240701~240702,240711~240719,240722,240725~240727,240729,240733~240736,240799~240818,240899,245799,245899"
강원도 삼척시,"235900~235914,235920~235921,245000,245010,245020,245030,245040,245050,245060,245070,245080,245090,245100,245110,245120,245130,245140,245150,245160,245170,245180,245190,245200,245210,245220,245230,245240,245250,245260,245270,245600,245701,245703,245711~245728,245781~245783,245800~245805,245810~245813,245820~245823,245825~245826,245830~245842,245900~245914,245920~245922,245930~245946"
강원도 속초시,"217000,217010,217020,217030,217040,217050,217060,217070,217080,217090,217100,217110,217120,217130,217600,217701~217704,217711,217750~217763,217800~217813"
강원도 양구군,"255000,255800~255815,255820~255822,255830~255833,255840~255843"
강원도 양양군,"215000,215701~215703,215709~215710,215800~215807,215810~215816,215820~215825,215829~215836,215840~215843,215850~215854,215859"
강원도 영월군,"230000,230711~230716,230800~230812,230820~230824,230830~230845,230850~230855,230860~230863,230870~230874,230880~230890,230900~230903,233829"
강원도 원주시,"220000,220003,220010,220020,220030,220040~220042,220050,220060,220070,220080,220090,220100,220110,220120~220122,220130,220140,220150,220160,220170,220180,220600,220700~220807,220809~220814,220820~220824,220830~220836,220838~220844,220850~220853,220860~220864,220870~220871,220873~220874,220876,220884~220885,220898~220899,220901~220904,220910~220913,220920~220926,220930~220945,220947~220948,220950~220965,220970~220974"
강원도 인제군,"250819,252000,252700,252710,252800~252808,252810~252816,252819~252827,252829~252833,252840~252847,252849~252854,252902~252903,252921,252923~252924,252940~252942"
강원도 정선군,"233000,233701,233703,233800~233817,233820~233828,233830~233836,233840~233848,233850~233853,233860~233866,233870~233879,233900~233909"
강원도 철원군,"209839,269000,269701~269705,269800~269807,269810~269824,269830~269833,269840~269846,269849~269852,269860~269861,269911~269914,487839,487868"
강원도 춘천시,"200000,200010,200020,200030,200041~200043,200050,200060,200070,200080,200090~200093,200100,200111~200114,200120,200130,200140,200150,200160~200163,200170,200180,200190,200200,200210,200220,200230,200240,200600,200700~200723,200750~200765,200767~200772,200774~200783,200789,200810~200812,200820~200824,200829~200835,200840~200843,200850~200854,200860~200864,200870~200874,200880~200882,200910~200915,200920~200922,200930~200964,200969,200972,200992~200993,209824~209828,209838,250826,250857~250858"
강원도 태백시,"235000,235010~235013,235019~235022,235030,235040,235050,235060,235070,235100~235103,235110,235120,235200~235202,235210,235220,235230,235240,235250,235260,235270,235280,235290,235600,235701~235708,235711~235719,235800~235803"
강원도 평창군,"232000,232700,232711,232800~232817,232820~232825,232910~232918,232920~232925,232930~232937,232940~232956"
강원도 홍천군,"250000,250701~250704,250711,250721,250751,250800~250816,250820~250824,250830~250835,250840~250846,250850~250856,250860~250864,250870~250875,250880~250885,250889~250895,250901~250911,250921~250923,250930~250936"
강원도 화천군,"209000,209800~209815,209819~209823,209830~209835,209840~209842"
강원도 횡성군,"225000,225700~225704,225800~225815,225820~225825,225830~225835,225840~225844,225850~225854,225860~225863,225870~225874,225880~225882,225891"
경기도 가평군,"477000,477701~477713,477800~477806,477809~477816,477820~477824,477830~477834,477839~477843,477850~477855"
경기도 고양시,"410000,410003,410050,410314~410315,410330,410340,410350~410352,410360~410362,410380~410382,410530,410540,410550,410560,410570,410600~410605,410700,410702,410705,410708~410710,410713~410731,410734~410735,410738~410742,410744~410746,410751~410755,410757,410759~410761,410767~410774,410776~410779,410781~410795,410799,410810~410821,410828~410831,410834~410839,410842~410843,410902,410904~410911,411000,411003,411050,411310~411314,411320,411330,411340,411350~411352,411360,411370~411372,411380~411382,411410,411420,411430,411440,411450,411530,411540,411550,411560,411570,411600,411701~411789,411799~411843,411902,411904,411910~411912,412010~412013,412020~412022,412030,412040,412060,412070,412080,412090,412110,412120,412130,412140,412150,412160,412170,412180,412190,412210,412220~412223,412230,412240,412250,412260,412270~412272,412280,412290,412470,412480,412490,412500,412510~412511,412520,412600,412701~412767,412779,412791,412799~412827,412835~412836"
경기도 과천시,"427000,427010,427020,427030,427040,427050,427060,427070,427080,427090,427100,427600,427701~427741,427800~427806,427817"
경기도 광명시,"423000,423010~423017,423030~423034,423050~423052,423060~423064,423070,423080,423090,423100,423600,423700~423776,423782,423800~423860,423881,423890"
경기도 광주시,"464000,464010,464020,464030,464040,464050,464060,464070,464080,464090,464100,464110,464120,464130,464701~464731,464740,464742~464744,464746~464749,464751~464752,464754,464756~464757,464759~464760,464763,464788~464789,464800~464816,464838,464840~464842,464844,464850~464851,464857,464860~464865,464870~464887,464889~464896,464901~464903,464909,464921~464926"
경기도 구리시,"471000,471010,471020~471022,471030~471033,471040,471050,471060,471070,471080,471090,471600,471701~471773,471778,471800~471841,471851,471853~471861"
경기도 군포시,"435000,435010~435012,435020,435030,435040~435042,435044~435045,435047,435050,435055,435058,435060,435070,435080,435090,435600,435701~435768,435770~435777,435800~435827,435829~435857,435859~435863,435870~435871,435877,435882~435884,435889,435919,435938"
경기도 김포시,"415000,415010,415020,415030,415040,415050,415060,415070,415701~415770,415774~415779,415800~415815,415821~415825,415828~415835,415837~415845,415849~415855,415860~415889"
경기도 남양주시,"472000,472010,472030,472040,472050,472060,472070,472080,472100,472120,472140,472701~472817,472820~472826,472830~472836,472840~472854,472860~472868,472870~472908,472910~472914,472918~472921,472925~472938,472941~472945,472948,472952~472971,476809,480799"
경기도 동두천시,"482839,482869,483000,483010,483020,483030~483032,483040,483050,483060,483070,483080,483090,483100,483110,483120,483130,483600,483701~483723,483730,483738~483743,483745~483746,483749,483751~483755,483777,483800~483802,486859"
경기도 부천시,"420000,420010~420013,420020~420024,420030~420033,420050,420100~420102,420110~420112,420120,420130,420140,420600,420700~420724,420726~420737,420743,420746~420749,420751~420774,420776,420800~420867,421003,421150,421160,421170,421180,421190~421192,421200~421202,421210,421220,421601~421602,421705,421740~421742,421750~421754,421800~421828,421831,422040~422042,422060,422070,422080,422090,422103,422230~422233,422240~422241,422600,422701~422717,422742,422749~422762,422764~422765,422800~422827,422830~422831,422833~422834,422837~422843"
